# from: https://bulbapedia.bulbagarden.net/wiki/List_of_items_by_index_number_in_Generation_I
#
Name,         Effect
Poké Flute,   Heal=Target:Both      |        Status:asleep         ; NotConsumed
Antidote,     Heal=Target:ChooseSelf|        Status:poisoned
Burn Heal,    Heal=Target:ChooseSelf|        Status:burnt
Ice Heal,     Heal=Target:ChooseSelf|        Status:frozen
Awakening,    Heal=Target:ChooseSelf|        Status:asleep
Paralyze Heal,Heal=Target:ChooseSelf|        Status:paralyzed
Full Heal,    Heal=Target:ChooseSelf|        Status:allNonVolatile
Full Restore, Heal=Target:ChooseSelf|HP%:100|Status:allNonVolatile
Revive,       Heal=Target:ChooseSelf|HP%: 50|Status:fainted
Max Revive,   Heal=Target:ChooseSelf|HP%:100|Status:fainted
Potion,       Heal=Target:ChooseSelf|HP :20
Super Potion, Heal=Target:ChooseSelf|HP :50
Fresh Water,  Heal=Target:ChooseSelf|HP :50
Soda Pop,     Heal=Target:ChooseSelf|HP :60
Lemonade,     Heal=Target:ChooseSelf|HP :80
Hyper Potion, Heal=Target:ChooseSelf|HP :200
Max Potion,   Heal=Target:ChooseSelf|HP :999
Ether,        Heal=Target:ChooseSelf|Move:Select|PP : 10
Max Ether,    Heal=Target:ChooseSelf|Move:Select|PP%:100
Elixer,       Heal=Target:ChooseSelf|Move:All   |PP : 10
Max Elixir,   Heal=Target:ChooseSelf|Move:All   |PP%:100
Dire Hit,     Stage=Target:Self|CRT:+1
X Attack,     Stage=Target:Self|ATK:+1
X Defense,    Stage=Target:Self|DEF:+1
X Special,    Stage=Target:Self|SPC:+1
X Speed,      Stage=Target:Self|SPD:+1
X Accuracy,   BypassAccuracyChecks=Target:Self
