# from: https://www.psypokes.com/rby/attacks.php
# details from: https://bulbapedia.bulbagarden.net/wiki/Category:Generation_I_moves
#
Name,Type,PP,Power,Accuracy,Priority,Effect,EffectChance
Absorb,Grass,20,20,100,0,Drain=Percentage:50,100
Acid,Poison,30,40,100,0,Stage=Target:Enemy|DEF:-1,33
Acid Armor,Poison,40,0,100,0,Stage=Target:Self|DEF:+2,100
Agility,Psychic,30,0,100,0,Stage=Target:Self|SPD:+2,100
Amnesia,Psychic,20,0,100,0,Stage=Target:Self|SPC:+2,100
Aurora Beam,Ice,20,65,100,0,Stage=Target:Enemy|ATK:-1,33
Barrage,Normal,20,15,85,0,MultiHit=2:37.5|3:37.5|4:12.5|5:12.5,100
Barrier,Psychic,30,0,100,0,Stage=Target:Self|DEF:+2,100
Bide,Normal,10,0,100,0,Bide,100
Bind,Normal,20,15,75,0,RepeatMove=2:37.5|3:37.5|4:12.5|5:12.5;Bind,
Bite,Normal,25,60,100,0,Status=Target:Enemy|flinched,10
Blizzard,Ice,5,120,90,0,Immune=Ice;Status=Target:Enemy|frozen,10
Body Slam,Normal,15,85,100,0,Immune=Normal;Status=Target:Enemy|paralyzed,30
Bone Club,Ground,20,65,85,0,Status=Target:Enemy|flinched,10
Bonemerang,Ground,10,50,90,0,MultiHit=2:100,10
Bubble,Water,30,20,100,0,Stage=Target:Enemy|SPD:-1,33
Bubblebeam,Water,20,65,100,0,Stage=Target:Enemy|SPD:-1,33
Clamp,Water,10,35,75,0,RepeatMove = 2:37.5 | 3:37.5 | 4:12.5 | 5:12.5 ; Bind,100
Comet Punch,Normal,15,18,85,0,MultiHit=2:37.5|3:37.5|4:12.5|5:12.5,100
Confuse Ray,Ghost,10,0,100,0,Status=Target:Enemy|confused,100
Confusion,Psychic,25,50,100,0,Status=Target:Enemy|confused,10
Constrict,Normal,35,10,100,0,Stage=Target:Enemy|SPD:-1,33
Conversion,Normal,30,0,100,0,SetType=Target:Self|Source:Enemy,100
Counter,Fighting,20,0,100,-5,Counter = Normal | Fighting,100
Crabhammer,Water,10,90,85,0,IncreasedCritRate,100
Cut,Normal,30,50,95,0,,
Defense Curl,Normal,40,0,100,0,Stage=Target:Self|DEF:+1,100
Dig,Ground,10,100,100,0,SemiInvulnerable; RequireCharge=1,100
Disable,Normal,20,0,55,0,Disable=7,100
Dizzy Punch,Normal,10,70,100,0,,
Double Kick,Fighting,30,30,100,0,MultiHit=2:100,100
Double Team,Normal,15,0,100,0,Stage=Target:Self|Evasion:+1,100
Double-Edge,Normal,15,100,100,0,Recoil=Percentage:25,100
Double Slap,Normal,10,15,85,0,MultiHit=2:37.5 | 3:37.5 | 4:12.5 | 5:12.5,100
Dragon Rage,Dragon,10,0,100,0,Damage=40,100
