Species,HP,ATK,DEF,SPD,SPC,Type1,Type2,ExpYield,ExpGroup
Bulbasaur,45,49,49,45,65,Grass,Poison,64,Medium Slow
Ivysaur,60,62,63,60,80,Grass,Poison,141,Medium Slow
Venusaur,80,82,83,80,100,Grass,Poison,208,Medium Slow
Charmander,39,52,43,65,50,Fire,,65,Medium Slow
Charmeleon,58,64,58,80,65,Fire,,142,Medium Slow
Charizard,78,84,78,100,85,Fire,Flying,209,Medium Slow
Squirtle,44,48,65,43,50,Water,,66,Medium Slow
Wartortle,59,63,80,58,65,Water,,143,Medium Slow
Blastoise,79,83,100,78,85,Water,,210,Medium Slow
Caterpie,45,30,35,45,20,Bug,,53,Medium Fast
Metapod,50,20,55,30,25,Bug,,72,Medium Fast
Butterfree,60,45,50,70,80,Bug,Flying,160,Medium Fast
Weedle,40,35,30,50,20,Bug,Poison,52,Medium Fast
Kakuna,45,25,50,35,25,Bug,Poison,71,Medium Fast
Beedrill,65,80,40,75,45,Bug,Poison,159,Medium Fast
Pidgey,40,45,40,56,35,Normal,Flying,55,Medium Slow
Pidgeotto,63,60,55,71,50,Normal,Flying,113,Medium Slow
Pidgeot,83,80,75,91,70,Normal,Flying,172,Medium Slow
Rattata,30,56,35,72,25,Normal,,57,Medium Fast
Raticate,55,81,60,97,50,Normal,,116,Medium Fast
Spearow,40,60,30,70,31,Normal,Flying,58,Medium Fast
Fearow,65,90,65,100,61,Normal,Flying,162,Medium Fast
Ekans,35,60,44,55,40,Poison,,62,Medium Fast
Arbok,60,85,69,80,65,Poison,,147,Medium Fast
Pikachu,35,55,30,90,50,Electric,,82,Medium Fast
Raichu,60,90,55,100,90,Electric,,122,Medium Fast
Sandshrew,50,75,85,40,30,Ground,,93,Medium Fast
Sandslash,75,100,110,65,55,Ground,,163,Medium Fast
Nidoran♀,55,47,52,41,40,Poison,,59,Medium Slow
Nidorina,70,62,67,56,55,Poison,,117,Medium Slow
Nidoqueen,90,82,87,76,75,Poison,Ground,194,Medium Slow
Nidoran♂,46,57,40,50,40,Poison,,60,Medium Slow
Nidorino,61,72,57,65,55,Poison,,118,Medium Slow
Nidoking,81,92,77,85,75,Poison,Ground,195,Medium Slow
Clefairy,70,45,48,35,60,Normal,,68,Fast
Clefable,95,70,73,60,85,Normal,,129,Fast
Vulpix,38,41,40,65,65,Fire,,63,Medium Fast
