# from: https://bulbapedia.bulbagarden.net/wiki/Type/Type_chart#Generation_I
#
"Attacker","Category","Normal","Fighting","Flying","Poison","Ground","Rock","Bug","Ghost","Fire","Water","Grass","Electric","Psychic","Ice","Dragon"
"Normal"  ,"physical",      1 ,        1 ,      1 ,      1 ,      1 ,  0.5 ,   1 ,     0 ,    1 ,     1 ,     1 ,        1 ,       1 ,   1 ,      1
"Fighting","physical",      2 ,        1 ,    0.5 ,    0.5 ,      1 ,    2 , 0.5 ,     0 ,    1 ,     1 ,     1 ,        1 ,     0.5 ,   2 ,      1
"Flying"  ,"physical",      1 ,        2 ,      1 ,      1 ,      1 ,  0.5 ,   2 ,     1 ,    1 ,     1 ,     2 ,      0.5 ,       1 ,   1 ,      1
"Poison"  ,"physical",      1 ,        1 ,      1 ,    0.5 ,    0.5 ,  0.5 ,   2 ,   0.5 ,    1 ,     1 ,     2 ,        1 ,       1 ,   1 ,      1
"Ground"  ,"physical",      1 ,        1 ,      0 ,      2 ,      1 ,    2 , 0.5 ,     1 ,    2 ,     1 ,   0.5 ,        2 ,       1 ,   1 ,      1
"Rock"    ,"physical",      1 ,      0.5 ,      2 ,      1 ,    0.5 ,    1 ,   2 ,     1 ,    2 ,     1 ,     1 ,        1 ,       1 ,   2 ,      1
"Bug"     ,"physical",      1 ,      0.5 ,    0.5 ,      2 ,      1 ,    1 ,   1 ,   0.5 ,  0.5 ,     1 ,     2 ,        1 ,       2 ,   1 ,      1
"Ghost"   ,"physical",      0 ,        1 ,      1 ,      1 ,      1 ,    1 ,   1 ,     2 ,    1 ,     1 ,     1 ,        1 ,       0 ,   1 ,      1
"Fire"    ,"special" ,      1 ,        1 ,      1 ,      1 ,      1 ,  0.5 ,   2 ,     1 ,  0.5 ,   0.5 ,     2 ,        1 ,       1 ,   2 ,    0.5
"Water"   ,"special" ,      1 ,        1 ,      1 ,      1 ,      2 ,    2 ,   1 ,     1 ,    2 ,   0.5 ,   0.5 ,        1 ,       1 ,   1 ,    0.5
"Grass"   ,"special" ,      1 ,        1 ,    0.5 ,    0.5 ,      2 ,    2 , 0.5 ,     1 ,  0.5 ,     2 ,   0.5 ,        1 ,       1 ,   1 ,    0.5
"Electric","special" ,      1 ,        1 ,      2 ,      1 ,      0 ,    1 ,   1 ,     1 ,    1 ,     2 ,   0.5 ,      0.5 ,       1 ,   1 ,    0.5
"Psychic" ,"special" ,      1 ,        2 ,      1 ,      2 ,      1 ,    1 ,   1 ,     1 ,    1 ,     1 ,     1 ,        1 ,     0.5 ,   1 ,      1
"Ice"     ,"special" ,      1 ,        1 ,      2 ,      1 ,      2 ,    1 ,   1 ,     1 ,    1 ,   0.5 ,     2 ,        1 ,       1 , 0.5 ,      2
"Dragon"  ,"special" ,      1 ,        1 ,      1 ,      1 ,      1 ,    1 ,   1 ,     1 ,    1 ,     1 ,     1 ,        1 ,       1 ,   1 ,      2
